Date,Confirmed
2020-01-22,555
2020-01-23,654
2020-01-24,941
2020-01-25,1434
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6166
2020-01-30,8234
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19881
2020-02-04,23892
2020-02-05,27635
2020-02-06,30794
2020-02-07,34391
2020-02-08,37120
2020-02-09,40150
2020-02-10,42762
2020-02-11,44802
2020-02-12,45221
2020-02-13,60368
2020-02-14,66885
2020-02-15,69030
2020-02-16,71224
2020-02-17,73258
2020-02-18,75136
2020-02-19,75639
2020-02-20,76197
2020-02-21,76819
2020-02-22,78572
2020-02-23,78958
2020-02-24,79525
2020-02-25,80372
2020-02-26,81346
2020-02-27,82704
2020-02-28,84070
2020-02-29,85967
2020-03-01,88325
2020-03-02,90262
2020-03-03,92795
2020-03-04,95075
2020-03-05,97844
2020-03-06,101761
2020-03-07,105782
2020-03-08,109754
2020-03-09,113536
2020-03-10,118375
2020-03-11,125704
2020-03-12,130909
2020-03-13,145204
2020-03-14,156283
2020-03-15,167022
2020-03-16,181452
2020-03-17,196917
2020-03-18,216161
2020-03-19,243084
2020-03-20,272698
2020-03-21,304844
2020-03-22,337597
2020-03-23,378381
2020-03-24,418569
2020-03-25,468155
2020-03-26,530138
2020-03-27,594178
2020-03-28,661544
2020-03-29,720695
2020-03-30,783580
2020-03-31,858317
2020-04-01,933905
2020-04-02,1014713
2020-04-03,1097193
2020-04-04,1177447
2020-04-05,1251123
2020-04-06,1322598
2020-04-07,1397537
2020-04-08,1481490
2020-04-09,1567423
2020-04-10,1659674
2020-04-11,1737813
2020-04-12,1836615
2020-04-13,1906692
2020-04-14,1977287
2020-04-15,2057584
2020-04-16,2153578
2020-04-17,2242537
2020-04-18,2316073
2020-04-19,2398423
2020-04-20,2472264
2020-04-21,2546905
2020-04-22,2622750
2020-04-23,2711635
2020-04-24,2799064
2020-04-25,2884420
2020-04-26,2958352
2020-04-27,3027215
2020-04-28,3101078
2020-04-29,3176596
2020-04-30,3261450
2020-05-01,3349915
2020-05-02,3432050
2020-05-03,3511157
2020-05-04,3587874
2020-05-05,3668635
2020-05-06,3760836
2020-05-07,3851895
2020-05-08,3945002
2020-05-09,4030363
2020-05-10,4108270
2020-05-11,4184838
2020-05-12,4268247
2020-05-13,4353211
2020-05-14,4451126
2020-05-15,4548549
2020-05-16,4641727
2020-05-17,4721968
2020-05-18,4810315
2020-05-19,4906193
2020-05-20,5005761
2020-05-21,5112366
2020-05-22,5220585
2020-05-23,5321022
2020-05-24,5417354
2020-05-25,5504324
2020-05-26,5599216
2020-05-27,5702113
2020-05-28,5820253
2020-05-29,5941938
2020-05-30,6070884
2020-05-31,6178860
2020-06-01,6275246
2020-06-02,6387849
2020-06-03,6519164
2020-06-04,6642853
2020-06-05,6776126
2020-06-06,6902650
2020-06-07,7015739
2020-06-08,7119355
2020-06-09,7242692
2020-06-10,7376333
2020-06-11,7514724
2020-06-12,7644260
2020-06-13,7778881
2020-06-14,7912426
2020-06-15,8034461
2020-06-16,8173940
2020-06-17,8349950
